Date,Cases,Died,CumsumInf,Comments
02/01/05,1,1,1,
03/01/05,3,3,4,
06/01/05,1,1,5,
07/01/05,2,2,7,
08/01/05,2,1,9,
09/01/05,1,1,10,
16/01/05,1,1,11,
