Date,Cases,Died,CumsumInf,Comments
20/01/12,1,1,1, Joypurhat Municipality area 
20/01/12,1,1,2,Khetlal upazila of Joypurhat district
23/01/12,2,2,4, Joypurhat Municipality area 
23/01/12,1,1,5,Khetlal upazila of Joypurhat district
31/01/12,7,5,12,
