Date,Cases,Died,CumsumInf,Comments
19/02/04,1,1,1,
04/03/04,1,1,2,carers of #1
06/03/04,1,1,3,carers of #1
09/03/04,1,1,4,carers of #1
16/03/04,1,1,5,carers of #1
19/03/04,1,1,6,
24/03/04,1,1,7,
25/03/04,2,1,9,
26/03/04,2,1,11,religious leader
29/03/04,1,1,12,
30/03/04,2,1,14,
31/03/04,3,3,17,
01/04/04,9,6,26,
02/04/04,1,1,27,
04/04/04,1,1,28,
12/04/04,3,2,31,
13/04/04,2,1,33,
14/04/04,1,1,34,
15/04/04,1,1,35,
16/04/04,1,1,36,
