Date,Cases,Died,CumsumInf,Comments
01/12/09,1,,1,
05/01/10,1,,2,
09/01/10,3,,5,
14/01/10,1,,6,
20/01/10,2,,8,
24/01/10,1,,9,
16/02/10,1,,10,
19/02/10,1,,11,
23/02/10,1,,12,
02/03/10,1,,13,
15/03/10,1,,14,
25/03/10,1,,15,
29/03/10,1,,16,
31/03/10,1,,17,
